text,label
"Vehicle inspection completed, no defects found",0
"vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found reported",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
Driver followed all required rest periods,0
Operator followed all required rest periods,0
Driver followed all required rest periods reported,0
Driver followed all required rest periods reported,0
Driver followed all required rest periods,0
driver followed all required rest periods,0
Driver followed all required rest periods,0
driver followed all required rest periods,0
Driver followed all required rest periods reported,0
driver followed all required rest periods,0
log completed correctly with all entries,0
log completed correctly with all entries,0
Log completed correctly with all entries reported,0
log completed correctly with all entries,0
log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
log completed correctly with all entries,0
Fuel receipt matches recorded location,0
fuel receipt matches recorded location,0
fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location reported,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed reported,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed reported,0
driver maintained legal driving hours,0
Driver maintained legal driving hours reported,0
Driver maintained legal driving hours reported,0
Driver maintained legal driving hours,0
Operator maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues reported,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Break taken according to regulations,0
Break taken according to regulations,0
break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations reported,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
All logs submitted on time,0
All records submitted on time,0
All records submitted on time,0
All logs submitted on time,0
All logs submitted on time,0
all logs submitted on time,0
All logs submitted on time,0
All records submitted on time,0
all logs submitted on time,0
All records submitted on time,0
Trip completed with no violations reported,0
Trip completed with no violations,0
Trip completed with no violations reported,0
trip completed with no violations,0
trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations reported,0
Driver exceeded 11 hour driving limit reported,1
Driver exceeded 11 hour driving limit reported,1
driver exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
driver exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Driving 12 hours without required break,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break,1
driving 12 hours without required break,1
no 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift reported,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift reported,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
no 10 hour rest period before shift,1
Driver drove beyond allowed hours reported,1
Driver drove beyond allowed hours,1
Driver drove beyond allowed hours reported,1
Operator drove beyond allowed hours,1
Driver drove beyond allowed hours,1
driver drove beyond allowed hours,1
Operator drove beyond allowed hours,1
Operator drove beyond allowed hours,1
driver drove beyond allowed hours,1
Driver drove beyond allowed hours,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
exceeded weekly driving limit,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours,1
no 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight reported,1
driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight,1
Violation of hours of service regulations reported,1
Violation of hours of service regulations,1
Violation of hours of service regulations,1
Violation of hours of service regulations reported,1
Violation of hours of service regulations,1
Violation of hours of service regulations,1
violation of hours of service regulations,1
violation of hours of service regulations,1
Violation of hours of service regulations,1
violation of hours of service regulations,1
Driver continued driving after limit reached,1
driver continued driving after limit reached,1
Driver continued driving after limit reached,1
Operator continued driving after limit reached,1
Operator continued driving after limit reached,1
Driver continued driving after limit reached reported,1
Operator continued driving after limit reached,1
Operator continued driving after limit reached,1
Driver continued driving after limit reached,1
Operator continued driving after limit reached,1
insufficient rest before next shift,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift,1
Driver forgot to sign the record,2
driver forgot to sign the log,2
Driver forgot to sign the record,2
Driver forgot to sign the log reported,2
Driver forgot to sign the record,2
Driver forgot to sign the log,2
driver forgot to sign the log,2
Driver forgot to sign the log,2
Driver forgot to sign the log,2
Operator forgot to sign the log,2
Incorrect date entered in logbook,2
Incorrect date entered in recordbook,2
incorrect date entered in logbook,2
Incorrect date entered in logbook,2
Incorrect date entered in logbook,2
Incorrect date entered in recordbook,2
Incorrect date entered in recordbook,2
Incorrect date entered in recordbook,2
Incorrect date entered in recordbook,2
Incorrect date entered in logbook,2
Form filled with incomplete signature,2
Form filled with incomplete signature,2
form filled with incomplete signature,2
form filled with incomplete signature,2
Form filled with incomplete signature,2
Form filled with incomplete signature,2
Form filled with incomplete signature reported,2
Form filled with incomplete signature,2
form filled with incomplete signature,2
form filled with incomplete signature,2
wrong vehicle id recorded,2
Wrong vehicle ID recorded,2
Wrong vehicle ID recorded reported,2
Wrong vehicle ID recorded reported,2
Wrong vehicle ID recorded,2
Wrong vehicle ID recorded,2
Wrong vehicle ID recorded,2
wrong vehicle id recorded,2
Wrong vehicle ID recorded,2
Wrong vehicle ID recorded,2
Driver used incorrect format in log,2
Operator used incorrect format in log,2
driver used incorrect format in log,2
Driver used incorrect format in log reported,2
Driver used incorrect format in log,2
driver used incorrect format in log,2
Driver used incorrect format in record,2
Operator used incorrect format in log,2
Driver used incorrect format in log reported,2
Driver used incorrect format in log reported,2
signature missing on inspection report,2
Signature missing on inspection report,2
Signature missing on inspection report,2
Signature missing on inspection report reported,2
Signature missing on inspection report,2
Signature missing on inspection report,2
signature missing on inspection report,2
Signature missing on inspection report,2
Signature missing on inspection report reported,2
Signature missing on inspection report,2
incorrect driver id in record,2
Incorrect driver ID in record reported,2
Incorrect driver ID in record,2
Incorrect driver ID in record,2
Incorrect driver ID in record,2
Incorrect driver ID in record,2
Incorrect driver ID in record,2
Incorrect driver ID in record reported,2
incorrect driver id in record,2
Incorrect driver ID in record,2
Logbook contains formatting errors,2
Logbook contains formatting errors,2
Logbook contains formatting errors,2
Logbook contains formatting errors reported,2
Logbook contains formatting errors reported,2
Logbook contains formatting errors,2
Logbook contains formatting errors,2
Logbook contains formatting errors,2
Logbook contains formatting errors,2
Logbook contains formatting errors reported,2
Form not completed according to rules,2
Form not completed according to rules,2
form not completed according to rules,2
form not completed according to rules,2
Form not completed according to rules,2
Form not completed according to rules,2
Form not completed according to rules,2
Form not completed according to rules reported,2
form not completed according to rules,2
Form not completed according to rules reported,2
Invalid entry in daily log,2
Invalid entry in daily log,2
Invalid entry in daily log,2
Invalid entry in daily log,2
Invalid entry in daily log,2
invalid entry in daily log,2
Invalid entry in daily record,2
Invalid entry in daily record,2
Invalid entry in daily log reported,2
Invalid entry in daily log,2
Missing location data in log,3
missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Missing location data in log,3
Break time not recorded reported,3
Break time not recorded,3
Break time not recorded,3
Break time not recorded,3
Break time not recorded,3
break time not recorded,3
Break time not recorded,3
break time not recorded,3
Break time not recorded reported,3
Break time not recorded,3
No record of fuel stop reported,3
No record of fuel stop,3
No record of fuel stop,3
No record of fuel stop reported,3
No record of fuel stop reported,3
No record of fuel stop,3
No record of fuel stop reported,3
No record of fuel stop,3
No record of fuel stop reported,3
No record of fuel stop,3
Driver did not log duty status,3
Operator did not log duty status,3
Operator did not log duty status,3
driver did not log duty status,3
Operator did not log duty status,3
Driver did not log duty status reported,3
Driver did not record duty status,3
Driver did not log duty status,3
Driver did not record duty status,3
Operator did not log duty status,3
Trip start time missing,3
Trip start time missing,3
Trip start time missing,3
trip start time missing,3
Trip start time missing,3
trip start time missing,3
trip start time missing,3
trip start time missing,3
Trip start time missing,3
Trip start time missing,3
End time not recorded,3
end time not recorded,3
End time not recorded reported,3
End time not recorded,3
End time not recorded,3
End time not recorded,3
End time not recorded reported,3
End time not recorded,3
End time not recorded,3
End time not recorded reported,3
No inspection record available,3
No inspection record available reported,3
No inspection record available,3
No inspection record available reported,3
No inspection record available,3
no inspection record available,3
No inspection record available reported,3
No inspection record available reported,3
No inspection record available,3
No inspection record available,3
Mileage data missing from log reported,3
Mileage data missing from log,3
mileage data missing from log,3
Mileage data missing from record,3
mileage data missing from log,3
Mileage data missing from log reported,3
Mileage data missing from record,3
Mileage data missing from log,3
Mileage data missing from log reported,3
Mileage data missing from log,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period,3
No entry for rest period reported,3
No entry for rest period reported,3
No entry for rest period reported,3
Driver skipped required record fields,3
Driver skipped required log fields,3
Driver skipped required log fields reported,3
Driver skipped required log fields,3
Driver skipped required record fields,3
Driver skipped required log fields reported,3
Driver skipped required log fields reported,3
driver skipped required log fields,3
driver skipped required log fields,3
driver skipped required log fields,3
Brake issue reported during inspection,4
Brake issue reported during inspection reported,4
Brake issue reported during inspection,4
Brake issue reported during inspection,4
Brake issue reported during inspection reported,4
Brake issue reported during inspection reported,4
Brake issue reported during inspection,4
Brake issue reported during inspection,4
brake issue reported during inspection,4
Brake issue reported during inspection reported,4
tire pressure below safe level,4
Tire pressure below safe level reported,4
Tire pressure below safe level reported,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Tire pressure below safe level,4
Engine warning light ignored,4
Engine warning light ignored,4
Engine warning light ignored,4
Engine warning light ignored,4
Engine warning light ignored reported,4
engine warning light ignored,4
engine warning light ignored,4
Engine warning light ignored reported,4
Engine warning light ignored,4
engine warning light ignored,4
inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Inspection revealed fluid leak,4
Defective lights found during inspection,4
Defective lights found during inspection,4
Defective lights found during inspection reported,4
Defective lights found during inspection,4
defective lights found during inspection,4
Defective lights found during inspection reported,4
defective lights found during inspection,4
Defective lights found during inspection,4
defective lights found during inspection,4
Defective lights found during inspection reported,4
Trailer hitch not secure,4
Trailer hitch not secure,4
Trailer hitch not secure,4
Trailer hitch not secure,4
trailer hitch not secure,4
Trailer hitch not secure,4
Trailer hitch not secure,4
Trailer hitch not secure,4
trailer hitch not secure,4
Trailer hitch not secure,4
inspection shows worn brake pads,4
Inspection shows worn brake pads,4
Inspection shows worn brake pads reported,4
Inspection shows worn brake pads reported,4
Inspection shows worn brake pads,4
Inspection shows worn brake pads reported,4
Inspection shows worn brake pads,4
Inspection shows worn brake pads,4
Inspection shows worn brake pads reported,4
Inspection shows worn brake pads,4
steering issue detected,4
Steering issue detected reported,4
Steering issue detected reported,4
Steering issue detected,4
steering issue detected,4
Steering issue detected,4
Steering issue detected reported,4
Steering issue detected,4
steering issue detected,4
Steering issue detected,4
safety equipment missing,4
Safety equipment missing reported,4
Safety equipment missing,4
Safety equipment missing reported,4
Safety equipment missing reported,4
Safety equipment missing,4
Safety equipment missing,4
safety equipment missing,4
Safety equipment missing reported,4
Safety equipment missing reported,4
inspection failed due to defects,4
Inspection failed due to defects,4
Inspection failed due to defects,4
Inspection failed due to defects,4
Inspection failed due to defects reported,4
Inspection failed due to defects,4
Inspection failed due to defects,4
Inspection failed due to defects,4
inspection failed due to defects,4
Inspection failed due to defects,4
